2024-06-22 02:36:16.205,10.925,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:16.305,11.025,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:16.405,11.125,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:16.505,11.225,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:16.605,11.325,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:16.705,11.425,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:16.805,11.525,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:16.905,11.625,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:17.005,11.725,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:17.105,11.825,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:17.205,11.925,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
