Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,CYCLE 2 ~ AN 4BAR 80C, CA 28.5BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-22 02:52:29,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-22 02:52:42.405,12.606,,0.714120,-0.000381,0.000190,0.176709,0.724852,0.003510
2024-06-22 02:52:42.505,12.706,,0.708430,-0.000191,0.000190,0.177352,0.719874,0.003534
2024-06-22 02:52:42.605,12.806,,0.703690,-0.000381,0.000381,0.178160,0.714893,0.003547
2024-06-22 02:52:42.705,12.906,,0.698950,-0.000191,0.000190,0.180550,0.709883,0.003563
2024-06-22 02:52:42.805,13.006,,0.694210,-0.000381,0.000190,0.181892,0.704840,0.003611
2024-06-22 02:52:42.906,13.107,,0.688520,-0.000381,0.000571,0.184908,0.699903,0.003638
2024-06-22 02:52:43.005,13.206,,0.683770,-0.000381,0.000381,0.184062,0.694874,0.003698
2024-06-22 02:52:43.105,13.306,,0.679030,-0.000381,-0.000190,0.188987,0.689865,0.003681
2024-06-22 02:52:43.205,13.406,,0.674290,-0.000191,0.000000,0.193448,0.684866,0.003780
2024-06-22 02:52:43.305,13.506,,0.668600,-0.000381,0.000190,0.196547,0.679891,0.003869
2024-06-22 02:52:43.405,13.606,,0.663860,-0.000381,0.000190,0.199963,0.674888,0.003931
2024-06-22 02:52:43.505,13.706,,0.659120,-0.000572,0.000190,0.204170,0.669886,0.003999
2024-06-22 02:52:43.605,13.806,,0.654370,0.000000,0.000381,0.207508,0.664845,0.004083
2024-06-22 02:52:43.705,13.906,,0.643940,-0.000381,0.000381,0.211977,0.659882,0.004150
2024-06-22 02:52:43.805,14.006,,0.639200,-0.000191,0.000381,0.214483,0.654806,0.004240
2024-06-22 02:52:43.905,14.106,,0.633510,-0.000191,0.000190,0.217850,0.649843,0.004290
2024-06-22 02:52:44.005,14.206,,0.628770,-0.000381,0.000000,0.220133,0.644836,0.004357
2024-06-22 02:52:44.105,14.306,,0.624030,-0.000191,0.000190,0.223029,0.639890,0.004403
2024-06-22 02:52:44.205,14.406,,0.624030,-0.000381,0.000190,0.224560,0.634864,0.004461
2024-06-22 02:52:44.305,14.506,,0.613590,0.000000,0.000571,0.225685,0.629862,0.004491
2024-06-22 02:52:44.405,14.606,,0.608850,-0.000191,0.000381,0.225998,0.624871,0.004514
2024-06-22 02:52:44.505,14.706,,0.604110,-0.000381,0.000381,0.225988,0.619887,0.004520
2024-06-22 02:52:44.605,14.806,,0.599370,-0.000381,0.000190,0.223864,0.614838,0.004520
2024-06-22 02:52:44.705,14.906,,0.593680,-0.000381,0.000000,0.222327,0.609843,0.004477
2024-06-22 02:52:44.805,15.006,,0.588940,-0.000191,0.000381,0.217995,0.604824,0.004447
2024-06-22 02:52:44.905,15.106,,0.584200,-0.000191,0.000190,0.213967,0.599889,0.004360
2024-06-22 02:52:45.005,15.206,,0.578500,-0.000191,0.000190,0.207442,0.594862,0.004149
2024-06-22 02:52:45.105,15.306,,0.574710,-0.000381,0.000190,0.199746,0.589860,0.004149
2024-06-22 02:52:45.205,15.406,,0.569020,-0.000191,0.000190,0.190662,0.584906,0.003995
2024-06-22 02:52:45.305,15.506,,0.564280,-0.000191,0.000190,0.180883,0.579899,0.003618
2024-06-22 02:52:45.405,15.606,,0.558590,-0.000191,0.000190,0.167408,0.574903,0.003618
2024-06-22 02:52:45.505,15.706,,0.556690,-0.000191,0.000381,0.154347,0.569879,0.003348
2024-06-22 02:52:45.605,15.806,,0.553850,0.000000,0.000190,0.137987,0.564861,0.003087
2024-06-22 02:52:45.705,15.906,,0.549110,-0.000381,0.000190,0.120566,0.559878,0.002760
2024-06-22 02:52:45.805,16.006,,0.544360,0.000000,0.000190,0.100836,0.554816,0.002411
2024-06-22 02:52:45.905,16.106,,0.538670,0.000000,0.000190,0.078933,0.549879,0.002017
2024-06-22 02:52:46.005,16.206,,0.533930,-0.000191,0.000190,0.054909,0.544850,0.001579
2024-06-22 02:52:46.105,16.306,,0.529190,-0.000191,0.000000,0.029069,0.539884,0.000581
2024-06-22 02:52:46.205,16.406,,0.523500,-0.000191,0.000190,0.000795,0.534903,0.000581
2024-06-22 02:52:46.305,16.506,,0.519710,-0.000191,0.000190,-0.029181,0.529841,0.000016
2024-06-22 02:52:46.405,16.606,,0.514020,-0.000191,0.000190,-0.062017,0.524879,-0.001240
2024-06-22 02:52:46.505,16.706,,0.508330,-0.000191,0.000381,-0.096159,0.519894,-0.001240
2024-06-22 02:52:46.605,16.806,,0.504530,-0.000381,0.000381,-0.134011,0.514866,-0.001923
2024-06-22 02:52:46.705,16.906,,0.499790,-0.000381,0.000000,-0.173698,0.509897,-0.002680
2024-06-22 02:52:46.805,17.006,,0.494100,-0.000381,-0.000190,-0.215359,0.504945,-0.003474
2024-06-22 02:52:46.905,17.106,,0.489360,-0.000381,0.000000,-0.259702,0.499892,-0.004307
2024-06-22 02:52:47.005,17.206,,0.483670,-0.000191,0.000381,-0.304902,0.494961,-0.005194
2024-06-22 02:52:47.105,17.306,,0.478930,-0.000381,0.000000,-0.304902,0.494961,-0.006098
2024-06-22 02:52:47.205,17.406,,0.474180,-0.000381,0.000190,-0.405758,0.484935,-0.007097
2024-06-22 02:52:47.305,17.506,,0.464700,-0.000191,0.000000,-0.458627,0.479942,-0.008115
2024-06-22 02:52:47.405,17.606,,0.459010,-0.000381,0.000381,-0.514185,0.474991,-0.010284
2024-06-22 02:52:47.505,17.706,,0.454270,-0.000381,0.000000,-0.571238,0.469947,-0.010284
2024-06-22 02:52:47.605,17.806,,0.449530,-0.000381,0.000190,-0.630346,0.464989,-0.011425
2024-06-22 02:52:47.705,17.906,,0.443840,-0.000381,0.000381,-0.691085,0.459930,-0.013822
2024-06-22 02:52:47.805,18.006,,0.439090,-0.000191,0.000381,-0.753057,0.454986,-0.013822
2024-06-22 02:52:47.905,18.106,,0.434350,-0.000191,0.000000,-0.816690,0.449874,-0.015061
2024-06-22 02:52:48.005,18.206,,0.429610,-0.000381,0.000000,-0.881045,0.444934,-0.016334
2024-06-22 02:52:48.105,18.306,,0.424870,-0.000191,0.000000,-0.945572,0.439935,-0.017621
2024-06-22 02:52:48.205,18.406,,0.419180,-0.000572,0.000381,-1.011606,0.435006,-0.018911
2024-06-22 02:52:48.305,18.506,,0.414440,-0.000381,0.000190,-1.076426,0.429932,-0.020232
2024-06-22 02:52:48.405,18.606,,0.409700,-0.000191,0.000381,-1.141596,0.425000,-0.021529
2024-06-22 02:52:48.505,18.706,,0.404950,-0.000572,0.000190,-1.206270,0.419962,-0.024125
2024-06-22 02:52:48.605,18.806,,0.399260,-0.000381,0.000381,-1.268742,0.415007,-0.024125
2024-06-22 02:52:48.705,18.906,,0.394520,-0.000381,0.000381,-1.330805,0.409925,-0.025375
2024-06-22 02:52:48.805,19.006,,0.394520,-0.000381,0.000381,-1.389213,0.404944,-0.027784
2024-06-22 02:52:48.905,19.106,,0.389780,-0.000191,0.000571,-1.445666,0.399930,-0.027784
2024-06-22 02:52:49.005,19.206,,0.384090,-0.000381,0.000190,-1.499734,0.395003,-0.028913
2024-06-22 02:52:49.105,19.306,,0.379350,-0.000572,0.000190,-1.550843,0.389948,-0.031017
2024-06-22 02:52:49.205,19.406,,0.374610,-0.000572,0.000190,-1.598795,0.384983,-0.031017
2024-06-22 02:52:49.305,19.506,,0.369860,-0.000191,0.000381,-1.598795,0.384983,-0.031976
2024-06-22 02:52:49.405,19.606,,0.364170,-0.000191,0.000190,-1.682938,0.375054,-0.032846
2024-06-22 02:52:49.505,19.706,,0.359430,-0.000381,0.000381,-1.719171,0.370012,-0.034383
2024-06-22 02:52:49.605,19.806,,0.354690,-0.000381,-0.000381,-1.750812,0.364998,-0.034383
2024-06-22 02:52:49.705,19.906,,0.349950,-0.000572,0.000000,-1.778372,0.359964,-0.035016
2024-06-22 02:52:49.805,20.006,,0.344260,-0.000572,0.000190,-1.801963,0.355002,-0.036039
2024-06-22 02:52:49.905,20.106,,0.339520,-0.000572,0.000000,-1.821499,0.349917,-0.036039
2024-06-22 02:52:50.005,20.206,,0.334770,-0.000572,0.000381,-1.837204,0.345000,-0.036430
2024-06-22 02:52:50.105,20.306,,0.330030,-0.000763,0.000381,-1.850118,0.339955,-0.037002
2024-06-22 02:52:50.205,20.406,,0.324340,-0.000572,0.000190,-1.858872,0.335015,-0.037002
2024-06-22 02:52:50.305,20.506,,0.314860,-0.000572,0.000190,-1.864501,0.329977,-0.037177
2024-06-22 02:52:50.406,20.607,,0.309170,-0.000572,0.000190,-1.866659,0.324956,-0.037333
2024-06-22 02:52:50.505,20.706,,0.304430,-0.000572,0.000381,-1.866300,0.319987,-0.037333
2024-06-22 02:52:50.605,20.806,,0.299680,-0.000572,0.000190,-1.862710,0.315016,-0.037254
2024-06-22 02:52:50.705,20.906,,0.293990,-0.000572,0.000381,-1.856780,0.309949,-0.037136
2024-06-22 02:52:50.805,21.006,,0.290200,-0.000572,0.000000,-1.849340,0.305042,-0.037136
2024-06-22 02:52:50.905,21.106,,0.284510,-0.000381,0.000571,-1.839625,0.300015,-0.036793
2024-06-22 02:52:51.005,21.206,,0.279770,-0.000572,0.000381,-1.828882,0.295044,-0.036793
2024-06-22 02:52:51.105,21.306,,0.275030,-0.000763,0.000000,-1.818840,0.290015,-0.036578
2024-06-22 02:52:51.206,21.407,,0.269340,-0.000572,0.000000,-1.806339,0.284993,-0.036127
2024-06-22 02:52:51.305,21.506,,0.264590,-0.000572,0.000381,-1.793573,0.280020,-0.036127
2024-06-22 02:52:51.405,21.606,,0.259850,-0.000572,0.000190,-1.781221,0.275057,-0.035871
2024-06-22 02:52:51.505,21.706,,0.254160,-0.000572,0.000000,-1.770648,0.269955,-0.035413
2024-06-22 02:52:51.605,21.806,,0.249420,-0.000572,0.000000,-1.761932,0.265043,-0.035413
2024-06-22 02:52:51.705,21.906,,0.244680,-0.000572,0.000381,-1.753895,0.260016,-0.035239
2024-06-22 02:52:51.805,22.006,,0.239940,-0.000572,0.000190,-1.747000,0.255039,-0.034940
2024-06-22 02:52:51.905,22.106,,0.235200,-0.000763,0.000381,-1.741148,0.249952,-0.034940
2024-06-22 02:52:52.005,22.206,,0.235200,-0.000763,0.000000,-1.735930,0.244930,-0.034823
2024-06-22 02:52:52.105,22.306,,0.229510,-0.000572,0.000190,-1.730466,0.239979,-0.034719
2024-06-22 02:52:52.205,22.406,,0.224760,-0.000572,0.000190,-1.725994,0.235009,-0.034520
2024-06-22 02:52:52.305,22.506,,0.219070,-0.000763,0.000381,-1.721173,0.229971,-0.034520
2024-06-22 02:52:52.406,22.607,,0.214330,-0.000763,0.000000,-1.716634,0.225017,-0.034423
2024-06-22 02:52:52.505,22.706,,0.209590,-0.000572,0.000000,-1.711172,0.220008,-0.034223
