Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,CYCLE 3 ~ AN 6BAR 80C, CA 28.5BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-24 19:20:34,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-24 19:20:48.605,13.809,,0.668600,-0.000572,0.000190,-0.971140,0.684920,-0.019423
2024-06-24 19:20:48.705,13.909,,0.663860,-0.000572,0.000190,-0.956473,0.679917,-0.019129
2024-06-24 19:20:48.805,14.009,,0.658170,-0.000572,0.000000,-0.950194,0.669924,-0.019291
2024-06-24 19:20:48.905,14.109,,0.654370,-0.000572,0.000190,-0.950194,0.669924,-0.019004
2024-06-24 19:20:49.005,14.209,,0.648680,-0.000954,0.000000,-0.953302,0.664934,-0.019066
2024-06-24 19:20:49.105,14.309,,0.639200,-0.000763,0.000190,-0.937114,0.654929,-0.019282
2024-06-24 19:20:49.205,14.409,,0.633510,-0.000381,-0.000381,-0.937114,0.654929,-0.018742
2024-06-24 19:20:49.305,14.509,,0.628770,-0.000572,0.000190,-0.930588,0.649904,-0.018612
2024-06-24 19:20:49.405,14.609,,0.624030,-0.000572,0.000000,-0.934253,0.639928,-0.018772
2024-06-24 19:20:49.505,14.709,,0.621180,-0.000381,0.000000,-0.934253,0.639928,-0.018685
2024-06-24 19:20:49.605,14.809,,0.619280,-0.000381,0.000190,-0.951529,0.634968,-0.019031
2024-06-24 19:20:49.705,14.909,,0.613590,-0.000572,0.000381,-0.906246,0.629893,-0.018125
2024-06-24 19:20:49.805,15.009,,0.608850,-0.000572,0.000000,-0.909181,0.624940,-0.018184
2024-06-24 19:20:49.906,15.110,,0.604110,-0.000954,0.000000,-0.908281,0.614930,-0.018198
2024-06-24 19:20:50.005,15.209,,0.599370,-0.000572,0.000190,-0.908281,0.614930,-0.018166
2024-06-24 19:20:50.105,15.309,,0.593680,-0.000572,0.000190,-0.910169,0.609907,-0.018203
2024-06-24 19:20:50.205,15.409,,0.588940,-0.000572,0.000000,-0.907659,0.599930,-0.017783
2024-06-24 19:20:50.305,15.509,,0.584200,-0.000572,0.000190,-0.907659,0.599930,-0.018153
2024-06-24 19:20:50.405,15.609,,0.578500,-0.000572,0.000190,-0.879028,0.594937,-0.017581
2024-06-24 19:20:50.505,15.709,,0.573760,-0.000572,0.000000,-0.875212,0.584980,-0.017550
2024-06-24 19:20:50.605,15.809,,0.568070,-0.000572,0.000190,-0.875212,0.584980,-0.017504
2024-06-24 19:20:50.705,15.909,,0.564280,-0.000572,0.000000,-0.869681,0.579934,-0.017394
2024-06-24 19:20:50.805,16.009,,0.558590,-0.000572,0.000000,-0.876221,0.569932,-0.017505
2024-06-24 19:20:50.905,16.109,,0.553850,-0.000572,-0.000190,-0.876221,0.569932,-0.017524
2024-06-24 19:20:51.005,16.209,,0.549110,-0.000572,0.000190,-0.853546,0.559908,-0.016720
